Compound,m/z,Group ID
y5.1,625.339966,563.821181
y6.1,738.42403,563.821181
y7.1,837.492443,563.821181
y8.1,984.560857,563.821181
y5.2,313.173621,563.821181
b5.1,502.302396,563.821181
y9.1,1039.536159,707.36942
y10.1,1186.604573,707.36942
y6.1,724.393123,707.36942
y8.1,952.50413,707.36942
y7.1,837.477187,707.36942
b11.1,1148.521844,707.36942
b10.1,1019.47925,707.36942
b9.1,891.420673,707.36942
b8.1,777.377745,707.36942
y9.1,1076.567793,721.355128
y7.1,851.456452,721.355128
b3.1,366.142463,721.355128
y9.2,538.787535,721.355128
y8.1,979.515029,721.355128
y6.1,780.419338,721.355128
y10.1,1257.581803,721.355128
b9.1,1048.434682,721.355128
b7.1,790.349496,721.355128
b10.1,1161.518746,721.355128
b8.1,919.392089,721.355128
b11.1,1289.577324,721.355128
y7.1,755.379461,598.804543
y9.1,997.506119,598.804543
y3.1,321.22281,598.804543
y8.1,884.422055,598.804543
b4.1,442.229624,598.804543
y7.2,378.193369,598.804543
b6.1,638.350802,598.804543
b7.1,709.387916,598.804543
y7.1,874.447284,537.275126
y6.1,746.388707,537.275126
y5.1,632.345779,537.275126
b8.1,921.417319,537.275126
b6.1,655.315814,537.275126
b5.1,556.2474,537.275126
b7.1,784.358407,537.275126
y8.1,1002.505862,537.275126
y11.1,1197.557682,919.9517
y12.1,1310.641746,919.9517
y10.1,1068.515089,919.9517
y13.1,1439.684339,919.9517
y9.1,953.488146,919.9517
b9.1,1015.457846,919.9517
b10.1,1128.54191,919.9517
b11.1,1229.589589,919.9517
b12.1,1300.626703,919.9517
y7.1,806.471374,488.792089
y6.1,691.444431,488.792089
y5.1,604.412402,488.792089
y8.1,905.539788,488.792089
b5.1,501.230353,488.792089
b6.1,614.314417,488.792089
y7.1,605.33488,501.307906
y6.1,548.313416,501.307906
y8.1,718.418944,501.307906
y9.1,831.503008,501.307906
y5.1,451.260653,501.307906
b5.1,454.302396,501.307906
y6.2,274.660346,501.307906
y9.1,968.473893,690.856677
y8.1,840.415315,690.856677
y10.1,1097.516486,690.856677
y7.1,711.372722,690.856677
y11.1,1210.60055,690.856677
b7.1,799.383225,690.856677
b8.1,900.430903,690.856677
b9.1,971.468017,690.856677
b10.1,1042.505131,690.856677
y11.1,1191.646378,841.945826
y9.1,979.566671,841.945826
y5.1,535.329401,841.945826
y10.1,1094.593614,841.945826
y12.1,1338.714792,841.945826
y9.2,490.286974,841.945826
y8.1,882.513907,841.945826
y11.2,596.326827,841.945826
b5.1,492.245275,841.945826
y5.2,268.168338,841.945826
b11.1,1148.562252,841.945826
b9.1,872.414859,841.945826
b10.1,985.498923,841.945826
b7.1,704.324982,841.945826
y8.1,678.398877,474.290048
y6.1,522.309,474.290048
y9.1,777.467291,474.290048
y7.1,621.377414,474.290048
b6.1,525.339509,474.290048
y10.1,876.535705,474.290048
y11.1,1288.599881,773.361792
y9.1,1045.514361,773.361792
y10.1,1174.556954,773.361792
y8.1,958.482332,773.361792
y7.1,843.455389,773.361792
b8.1,931.379202,773.361792
b7.1,816.352259,773.361792
b9.1,1030.447616,773.361792
b10.1,1101.48473,773.361792
y7.1,811.425152,499.248242
y6.1,710.377473,499.248242
y5.1,596.334546,499.248242
b5.1,517.188882,499.248242
y8.1,882.462266,499.248242
b6.1,645.247459,499.248242
y6.1,682.371325,550.781918
y7.1,781.439739,550.781918
y5.1,581.323647,550.781918
y8.1,928.508153,550.781918
y9.1,985.529617,550.781918
y7.1,791.471708,623.342674
y6.1,678.387644,623.342674
y9.1,1017.567065,623.342674
y8.1,920.514301,623.342674
y9.2,509.287171,623.342674
b6.1,639.334818,623.342674
b7.1,752.418882,623.342674
y6.1,693.423695,559.331578
y7.1,792.492109,559.331578
y8.1,905.576173,559.331578
y5.1,580.339631,559.331578
b6.1,667.366118,559.331578
y9.1,1002.628937,559.331578
b7.1,780.450182,559.331578
y9.2,501.818107,559.331578
y6.1,755.439345,528.776439
y5.1,656.370931,528.776439
y4.1,543.286867,528.776439
y7.1,941.518658,528.776439
y6.1,755.439345,528.776439
y5.1,656.370931,528.776439
y4.1,543.286867,528.776439
y3.1,429.24394,528.776439
y8.1,888.524472,764.93747
y9.1,1003.551415,764.93747
y10.1,1116.635479,764.93747
y11.1,1229.719543,764.93747
y7.1,791.471708,764.93747
y8.2,444.765874,764.93747
b6.1,641.350468,764.93747
b8.1,837.471646,764.93747
b9.1,950.55571,764.93747
y10.1,1119.588863,894.467123
y11.1,1220.636542,894.467123
b11.1,1120.588467,894.467123
y8.1,923.467685,894.467123
b6.1,669.345383,894.467123
y12.1,1333.720606,894.467123
y3.1,425.260259,894.467123
y9.1,1022.536099,894.467123
y8.2,462.237481,894.467123
y14.2,772.432355,894.467123
b8.1,865.46656,894.467123
y14.1,1543.857434,894.467123
y10.2,560.29807,894.467123
b13.1,1363.673987,894.467123
b13.2,682.340632,894.467123
y9.1,965.474227,612.283345
y6.1,722.388707,612.283345
y8.1,908.452764,612.283345
y7.1,851.4313,612.283345
y10.1,1094.51682,612.283345
